bjd,rv,e_rv
2454864.71696,295.28,8.47
2454864.72077,283.24,9.22
2454864.72498,236.89,8.63
2454864.72887,221.36,8.68
2454864.73296,228.46,8.29
2454864.73714,193.07,8.10
2454864.74090,182.65,8.45
2454864.74513,151.37,8.58
2454864.74887,133.62,8.85
2454864.75315,103.70,9.28
2454864.75693,94.67,8.10
2454864.76066,69.94,9.39
2454864.76514,42.68,9.49
2454864.77202,10.35,8.11
2454864.77610,-16.32,8.98
2454864.78016,-46.80,8.49
2454864.78408,-71.76,8.12
2454864.78831,-108.26,9.64
2454864.79175,-34.11,9.40
2454864.79610,-93.81,10.74
2454864.79994,-58.44,9.33
2454864.80403,-72.96,9.37
2454864.80804,-90.44,9.62
2454864.81188,-91.84,9.02
2454864.81646,-64.90,8.79
2454864.82167,-46.12,8.89
2454864.82664,-29.13,9.05
2454864.83185,-93.29,9.95
2454864.83813,-84.01,9.20
2454864.84428,-83.04,7.95
2454864.84934,-121.17,9.76
2454864.88547,-179.66,8.36
2454864.93909,-307.71,8.57
2454864.94942,-320.68,9.57
2454864.97407,-394.97,9.24
2454864.97694,-397.80,8.71
2454864.97973,-413.02,8.65
2454864.98273,-420.18,9.08
2454864.98550,-431.56,9.46
