bjd,rv,e_rv
2454777.80631,71.48,3.15
2454777.80904,69.36,3.26
2454777.81176,69.19,3.15
2454777.81483,67.40,3.06
2454777.81825,63.25,3.34
2454777.82166,61.08,3.15
2454777.82508,59.66,3.13
2454777.82850,53.92,3.10
2454777.83193,54.38,3.16
2454777.83877,52.56,3.12
2454777.84219,48.59,3.33
2454777.84903,45.32,3.07
2454777.85245,44.35,3.13
2454777.85587,41.94,2.81
2454777.86066,37.00,2.87
2454777.86409,38.47,2.73
2454777.86751,35.98,3.04
2454777.87093,37.97,2.59
2454777.87435,31.49,3.26
2454777.87778,36.16,2.88
2454777.88120,33.32,3.05
2454777.88461,32.15,2.82
2454777.88803,38.62,3.14
2454777.89145,46.30,2.74
2454777.89487,33.32,2.88
2454777.89829,39.22,2.85
2454777.90171,39.40,3.10
2454777.90514,31.14,2.88
2454777.90856,29.22,3.20
2454777.91198,31.93,3.30
2454777.91540,29.64,3.33
2454777.91882,25.67,3.11
2454777.92224,24.40,2.81
2454777.92566,19.20,3.32
2454777.92909,17.00,3.01
2454777.93251,16.33,3.02
2454777.93594,10.53,3.02
2454777.93936,3.58,3.31
2454777.94278,1.02,2.93
2454777.94621,-8.27,3.19
2454777.94962,3.00,2.98
2454777.95304,-13.59,3.21
2454777.95647,-10.38,3.28
2454777.96002,-18.02,3.43
2454777.96345,-16.04,3.15
2454777.96687,-20.84,3.32
2454777.97029,-33.28,3.48
2454777.97371,-28.10,3.72
2454777.97714,-33.93,3.10
2454777.98057,-37.80,3.73
2454777.98399,-39.30,3.19
2454777.98743,-43.08,3.79
2454777.99085,-44.78,3.67
2454777.99428,-35.16,3.71
2454777.99770,-45.68,3.41
2454778.00112,-46.25,3.19
2454778.00454,-39.24,3.35
2454778.00796,-32.99,3.06
2454778.01139,-36.00,3.40
2454778.01481,-33.47,3.20
2454778.01823,-38.50,3.23
2454778.02165,-43.15,3.41
2454778.02508,-45.17,3.21
2454778.02851,-43.56,3.72
2454778.03194,-47.37,3.24
2454778.03570,-46.86,3.35
2454778.03983,-51.32,3.22
2454778.04396,-55.03,3.15
2454778.04809,-54.08,3.04
2454778.05222,-57.89,3.31
2454778.05635,-57.39,3.01
2454778.06048,-55.33,3.39
2454778.06461,-59.25,3.23
2454778.06874,-68.85,2.81
2454778.07288,-69.28,3.00
2454778.07701,-74.63,3.42
2454778.08114,-72.57,2.90
2454778.08527,-80.46,3.12
